epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2945.37,1.36847,1.32642,1.03804,0.89314,0.69313,0.84187,0.53382,1.30622,0.78398,1.01433,0.0905725,0.000496183,0.000496183
2,5801.69,1.28068,0.83779,1.00192,0.75947,0.84637,0.76498,0.49136,1.22186,0.74942,0.98625,0.0810627,0.000986321,0.000986321
3,8611.85,1.2393,0.75584,0.98457,0.80612,0.79405,0.80873,0.52939,1.21404,0.74615,0.9803,0.0715429,0.00146656,0.00146656
4,11434.7,1.24602,0.741,0.99659,0.86329,0.74251,0.76256,0.49182,1.19655,0.69301,0.97671,0.0620132,0.0019369,0.0019369
5,14244.4,1.23967,0.73224,0.98859,0.86826,0.81256,0.84849,0.54468,1.2531,0.72118,0.99494,0.0524737,0.00239733,0.00239733
6,17058.8,1.21595,0.70442,0.97608,0.89453,0.84552,0.84243,0.57119,1.18644,0.68569,0.96621,0.0429242,0.00284787,0.00284787
7,19889.5,1.20329,0.6798,0.97795,0.74449,0.73748,0.73927,0.47627,1.25868,0.77403,1.00634,0.0333648,0.00328851,0.00328851
8,22705.4,1.20711,0.68046,0.97639,0.88164,0.78516,0.83514,0.5449,1.23791,0.68755,0.99557,0.0237956,0.00371925,0.00371925
9,25538.7,1.19093,0.66435,0.9712,0.91135,0.86897,0.87754,0.59345,1.1967,0.6853,0.97956,0.0142164,0.00414009,0.00414009
10,28365.8,1.17203,0.63892,0.96429,0.89817,0.90119,0.88196,0.57651,1.19891,0.65808,0.97278,0.00462736,0.00455102,0.00455102
11,31207.7,1.18994,0.63979,0.96981,0.89066,0.84076,0.87,0.56928,1.19296,0.68192,0.96973,0.004505,0.004505,0.004505
12,34029.4,1.16006,0.61829,0.95824,0.86775,0.8541,0.87443,0.5953,1.18654,0.63413,0.97076,0.0044555,0.0044555,0.0044555
13,36872.1,1.13761,0.59817,0.95448,0.90902,0.8946,0.89342,0.62533,1.17518,0.64037,0.96127,0.004406,0.004406,0.004406
14,39697,1.14308,0.60098,0.95067,0.92106,0.91703,0.90293,0.61738,1.18846,0.63979,0.97208,0.0043565,0.0043565,0.0043565
15,42532,1.13728,0.57781,0.9511,0.92334,0.89785,0.88851,0.60684,1.18245,0.65874,0.96902,0.004307,0.004307,0.004307
16,45339.2,1.12134,0.56412,0.94427,0.91249,0.88493,0.88047,0.59615,1.16604,0.68568,0.96312,0.0042575,0.0042575,0.0042575
17,48155.8,1.13207,0.57761,0.95096,0.91723,0.89247,0.88957,0.60444,1.16463,0.67818,0.96332,0.004208,0.004208,0.004208
18,50978,1.10422,0.55972,0.93835,0.89339,0.85028,0.89354,0.60503,1.17483,0.64153,0.96371,0.0041585,0.0041585,0.0041585
19,53799.2,1.11837,0.55937,0.94023,0.90926,0.91226,0.89631,0.61744,1.17023,0.6289,0.95842,0.004109,0.004109,0.004109
20,56606.8,1.10376,0.54109,0.93663,0.92139,0.91041,0.89434,0.61622,1.17684,0.677,0.96603,0.0040595,0.0040595,0.0040595
21,59450.7,1.09549,0.53639,0.93099,0.9147,0.90432,0.89167,0.62136,1.15308,0.61696,0.95585,0.00401,0.00401,0.00401
22,62296.9,1.10696,0.5487,0.9401,0.91003,0.90245,0.8854,0.61209,1.15129,0.67378,0.96015,0.0039605,0.0039605,0.0039605
23,65242.4,1.09153,0.53438,0.93413,0.90656,0.90729,0.88987,0.61612,1.16502,0.63094,0.96393,0.003911,0.003911,0.003911
24,68226.2,1.06408,0.51877,0.93104,0.92954,0.89864,0.89544,0.62426,1.14431,0.62471,0.95823,0.0038615,0.0038615,0.0038615
25,71252.2,1.06811,0.51922,0.92532,0.92217,0.9083,0.88929,0.62526,1.14502,0.64405,0.95344,0.003812,0.003812,0.003812
26,74226.7,1.06414,0.51934,0.9276,0.9139,0.91308,0.88517,0.60944,1.16561,0.63335,0.95674,0.0037625,0.0037625,0.0037625
27,77183.7,1.07182,0.51911,0.92577,0.91,0.89851,0.89315,0.63506,1.15263,0.63535,0.95435,0.003713,0.003713,0.003713
28,80181.6,1.06412,0.51214,0.92465,0.92004,0.89741,0.88786,0.61112,1.14354,0.66686,0.95374,0.0036635,0.0036635,0.0036635
29,83071.1,1.05115,0.4965,0.9197,0.91507,0.89582,0.89083,0.63599,1.15492,0.64023,0.95654,0.003614,0.003614,0.003614
30,85960.4,1.04495,0.49202,0.92209,0.89252,0.90572,0.89114,0.62932,1.14145,0.62853,0.95137,0.0035645,0.0035645,0.0035645
31,88798.4,1.04039,0.49524,0.91944,0.90852,0.90291,0.89215,0.62899,1.15244,0.64711,0.95356,0.003515,0.003515,0.003515
32,91640.8,1.03745,0.49388,0.91736,0.91527,0.90539,0.89321,0.62796,1.14853,0.64804,0.95584,0.0034655,0.0034655,0.0034655
33,94474,1.04961,0.49632,0.92319,0.91666,0.90581,0.89999,0.63044,1.15512,0.63092,0.95619,0.003416,0.003416,0.003416
